name,price
Python程序设计,28.90
Python编程指南：语法基础、网络爬虫、数据可视化与项目实战,62.70
预测分析建模：Python与R语言实现,65.20
Python程序设计基础（第2版）,41.00
Python语言程序设计基础(第2版)-嵩天、礼欣、黄天羽-高等教育出版社,28.50
人工智能开发语言——Python,77.20
Python与数据挖掘,40.40
机器学习系统设计：Python语言实现,46.10
Python深度学习,84.50
Python从入门到实践 上下册 Python编程入门指南 零基础自学pytho基础到精通书籍,56.00
Python数据分析与数据化运营,81.70
Python编程从零基础到项目实战 从入门到实践 Python基础编程 python视频教程,45.00
程序设计导论：Python计算与应用开发实践（原书第2版）,87.90
Python全栈数据工程师养成攻略（视频讲解版）,47.10
Python网络爬虫实战（第2版）,79.00
Python3程序设计学习指导与习题解答,30.90
官方正版包邮 疯狂Python讲义 李刚 Python网络编程 Python编程从入门到实践教程书籍,64.90
包邮 Python深度学习：基于PyTorch 吴茂贵 郁明敏 杨本法 李涛 张粤磊|8064257,62.30
基于ArcGIS的Python编程秘笈(第2版),50.50
3本 Python编程从入门到实践+Python核心编程 第3版+Python 3标准库,307.83
机器学习,50.10
精通Python自然语言处理,49.40
程序设计导论：Python语言实践,72.80
Python机器学习（影印版）,70.70
Python语言程序设计,32.70
Python大规模机器学习,73.40
Python项目开发实战,67.80
Python程序设计案例教程：从入门到机器学习（微课版）,41.70
Python并行编程参考手册（影印版）,53.60
零基础入门学习Python （第2版）小甲鱼计算机/网络 程序设计 零基础学编程基础学习教程,58.00
Python数据可视化,56.90
Python金融大数据分析（第2版 影印版）,128.40
python编程 从入门到实践 零基础学python3.5 pathon核心技术网络爬虫书籍,69.00
Python基础教程 第3版 图灵程序设计丛书 编程新手入门 软件工具 python,61.70
Python贝叶斯分析,57.80
Keras深度学习实战,49.40
Python深度学习,49.40
Python机器学习,66.20
Python设计模式 第2版,32.70
Python程序设计,87.10
Python测试驱动开发 使用Django Selenium和JavaScript进行Web编程,97.20
金融工程及其Python应用/高等院校财政金融专业应用型教材,40.90
Python树莓派编程,40.40
Python从入门到项目实践（超值微视频版）/软件开发魔典,76.40
图灵程序设计丛书·Python数据分析基础教程：NumPy学习指南（第2版）,40.00
scikit learn机器学习：常用算法原理及编程实战,46.60
Python深度学习实战：基于TensorFlow和Keras的聊天机器人以及人脸、物体和语音识别,56.90
Python算法指南：程序员经典算法分析与实现/清华开发者书库,113.10
实战深度学习算法：零起点通关神经网络模型（基于Python和NumPy实现）,75.10
Python网络编程（原书第2版）,89.90
Python：统计人的视角/统计数据分析与应用丛书,27.90
写给系统管理员的Python脚本编程指南,57.80
神经网络与深度学习：基于TensorFlow框架和Python技术实现,47.30
Python微控制器编程从零开始 使用MicroPython,42.30
Python带我起飞 入门、进阶、商业实战,75.10
人工智能入门与实战 使用Raspberry Pi和Python演练,50.80
零基础学编程：树莓派和Python,46.60
Selenium自动化测试 基于 Python 语言,41.00
Python面向对象编程指南,66.20
Python深度学习 人工智能 deep learning with python中文版机器学习实战,82.80
Python程序设计（原书第2版）,105.60
21天学通Python（第2版）,50.10
包邮 [按需印刷]编写高质量代码：改善Python程序的91个建议 张颖 赖勇浩|3770256,59.00
Python网络编程(Linux)（大数据与人工智能技术丛书）,33.20
现货包邮 强化学习：原理与Python 实现[鲜读] 肖智清|8061301,62.30
Python UNIX 和Linux 系统管理指南,81.80
Python 3快速入门与实战,65.20
Python生物信息学数据管理,57.80
5本 深度学习+深度学习入门+Python编程基础+神经网络编程+TensorFlow 人工智能书籍,326.90
Python 3.6零基础入门与实战,50.20
从零开始学Python数据分析与挖掘,67.20
Python袖珍指南（第5版）,30.90
Python游戏编程快速上手 第4版,57.80
Python机器学习算法: 原理、实现与案例,58.70
Python编程基础,32.50
面向ArcGIS的Python脚本编程,41.00
Python数据分析、挖掘与可视化（慕课版）,41.70
Python入门与实战,21.70
Python+Tensorflow机器学习实战,71.80
Python科学计算（原书第2版）,73.40
零基础轻松学Python：青少年趣味编程（全彩版）,69.80
Python+Spark 2.0+Hadoop机器学习与大数据实战,84.20
计算机视觉与深度学习实战：以MATLAB、Python为工具,103.60
虫术——Python绝技,94.10
Python经典实例,113.60
Python编程导论 第2版,56.40
Python绝技：运用Python成为顶级数据工程师,75.10
Linux命令行与shell编程实战（第4版）,108.80
Head First 编程之旅（Python语言描述）,96.00
Python编程从入门到实践python3.0绝技核心编程基础教程网络爬虫入门书籍,54.90
Python语言程序设计,34.10
Python数据挖掘与机器学习实战,79.00
从AI模型到智能机器人：基于 Python与TensorFlow,75.10
Python3智能数据分析快速入门,98.20
Python数据科学入门,40.00
包邮 Python学习手册（原书第5版）马克·卢茨|8053406,153.30
Python趣味编程：从入门到人工智能,50.20
大话Python机器学习,76.30
Python程序设计（第2版）/高等院校信息技术规划教材,44.50
精通Python爬虫框架Scrapy,49.40
Python机器学习及实践：从零开始通往Kaggle竞赛之路,41.70
Python统计分析,66.20
Python从菜鸟到高手,108.80
深度学习：基于Keras的Python实践,56.10
